PATIENT ID,SECESSION CIVIL WAR BINARY,SECESSION CIVIL WAR YES/NO,GENDER BINARY,GENDER,AGE,AGE 60 PLUS,60 PLUS YES/NO,1ST AMENDMENT LOSS YES/NO,1ST AMENDMENT LOSS BINARY,2ND AMENDMENT LOSS YES/NO,2ND AMENDMENT LOSS BINARY,PARTISANSHIP YES/NO,PARTISANSHIP BINARY,HIGHER TAXES YES/NO,HIGHER TAXES BINARY,VOTER FRAUD YES/NO,VOTER FRAUD BINARY,BIG TECH YES/NO,BIG TECH BINARY,DYSFUNCTIONAL GOV BINARY,DYSFUNCTIONAL GOV YES/NO,OLIGARCHY BINARY,OLIGARCHY YES/NO,BORDER LOSS BINARY,BORDER LOSS YES/NO,SCANDALS IN BIDEN WH BINARY,SCANDALS IN BIDEN WH YES/NO,LOSS OF ENERGY BINARY,LOSS OF ENERGY YES/NO,COVID ISSUES BINARY,COVID ISSUES YES/NO,JOB LOSS BINARY,JOB LOSS YES/NO,1619 VS 1776 BINARY,1619 VS 1776 YES/NO
P1,0,No,1,Male,70,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,1,Yes,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P2,1,Yes,1,Male,46,0,No,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,0,Yes,0,No,0,No,0,No
P3,1,Yes,1,Male,94,1,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,No,0,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P4,1,Yes,1,Male,74,1,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P5,1,Yes,1,Male,53,0,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P6,1,Yes,1,Male,45,0,Yes,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P7,1,Yes,0,Female,20,0,Yes,Yes,1,Yes,1,Yes,1,Yes,1,No,0,Yes,1,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
P8,1,Yes,1,Male,49,0,Yes,Yes,1,Yes,1,Yes,1,No,0,Yes,1,Yes,1,0,No,0,No,0,No,0,No,1,Yes,0,No,0,No,0,No
P9,1,Yes,0,Female,50,0,Yes,Yes,1,No,0,No,0,No,0,No,0,No,0,1,Yes,0,No,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes,1,Yes
P10,1,Yes,1,Male,25,0,Yes,No,0,Yes,1,Yes,1,Yes,1,Yes,1,No,0,0,No,0,No,0,No,0,No,0,No,0,No,0,No,0,No
