PseudoID,Campus Communications Overall,Use of Campus Health,Use of CAPS,Use of D2L,Use of Degree Map,Use of Handshake,Use of Housing and Residential Life,Use of Library Systems,Use of Scholarship Universe,Use of UAccess,Use of UA Mobile App,Rate Experience with Campus Health,Rate System Satisfaction,Rate Library Systems,Rate Scholarship Universe,Rate UAccess,Rate UA Mobile App,How Many Emails per week are Students Receiving,Number of Emails Directly Related to Student,Duplicate Emails,Which social or online community tools do you use? - Selected Choice - Facebook / Messenger,Which social or online community tools do you use? - Selected Choice - Instagram,Which social or online community tools do you use? - Selected Choice - Snapchat,Which social or online community tools do you use? - Selected Choice - Text / SMS,Which social or online community tools do you use? - Selected Choice - Twitter,What university info is most important for you to see on a daily basis? - Selected Choice - Homework & assignment due dates,The ease of scheduling appointments with your academic advisor?,"On average, how often do you meet with your academic advisor?",How would you rate the following administrative processes? - Assignments due,How would you rate the following administrative processes? - Checking grades,How would you rate the following administrative processes? - Scheduling an appointment with your advisor,How would you rate the following administrative processes? - Tracking degree progress,How likely are you to recommend this university to others?,Career,Campus,Ethnicity,Gender,Age,Residency,Honors Flag,College,Class Standing,CUM GPA
19001,Very effective,Never,Never,Daily,Never,Never,Never,Daily,Rarely,Monthly,Never,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,16-20,All,None,Facebook / Messenger,,,Text / SMS,,Homework & assignment due dates,Somewhat difficult,Once a semester,Very easy,Very easy,Very easy,Somewhat easy,Very likely,GRAD,MAIN,White,F,61,RES,N,College of Education,Graduate,
19005,Somewhat effective,Never,I don't know what this is,Weekly,I don't know what this is,I don't know what this is,Never,Monthly,Never,Daily,Weekly,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,Satisfactory,16-20,Most,A few,Facebook / Messenger,Instagram,,Text / SMS,,Homework & assignment due dates,I haven't scheduled an appointment with my advisor,Once a semester,Somewhat easy,Somewhat easy,Very easy,Very easy,Very likely,GRAD,MAIN,White,F,49,RES,Y,Graduate College,Graduate,4
19009,Very effective,Never,Never,Daily,Monthly,Monthly,Never,Weekly,Weekly,Daily,Daily,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,16-20,Most,A few,Facebook / Messenger,,,Text / SMS,,Homework & assignment due dates,Somewhat easy,Once a semester,Somewhat easy,Very easy,Somewhat easy,Somewhat easy,Very likely,UGRD,MAIN,American Indian,F,48,RES,N,College of Social & Behav Sci,Junior,4
19011,Very effective,Never,Never,Daily,I don't know what this is,I don't know what this is,I don't know what this is,Daily,I don't know what this is,Daily,Monthly,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,16-20,A few,A few,Facebook / Messenger,Instagram,,Text / SMS,,Homework & assignment due dates,Somewhat easy,A few times a semester,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat easy,Very likely,GRAD,MAIN,Hispanic,M,48,RES,N,College of Education,Graduate,
19014,Somewhat effective,Rarely,I don't know what this is,Rarely,I don't know what this is,I don't know what this is,Never,Monthly,Rarely,Monthly,I don't know what this is,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,16-20,A few,A few,Facebook / Messenger,,,Text / SMS,,,Somewhat difficult,A few times a semester,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat likely,GRAD,MAIN,Hispanic,F,54,RES,N,College of Nursing,Graduate,
19019,Somewhat effective,Never,I don't know what this is,Weekly,I don't know what this is,I don't know what this is,Never,Rarely,Never,Weekly,Never,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,Satisfactory,16-20,A few,A few,Facebook / Messenger,,,Text / SMS,,Homework & assignment due dates,I haven't scheduled an appointment with my advisor,Once a semester,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat difficult,Somewhat likely,GRAD,MAIN,White,M,45,RES,N,College of Education,Graduate,4
19022,Somewhat effective,Never,Never,Weekly,Never,Never,Never,Monthly,Rarely,Rarely,Rarely,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,16-20,About half,A few,Facebook / Messenger,Instagram,,Text / SMS,Twitter,,I don't have an academic advisor,Once a semester,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat likely,GRAD,MAIN,Hispanic,F,43,RES,Y,College of Education,Graduate,4
19024,Somewhat effective,Rarely,Never,Weekly,I don't know what this is,Rarely,Never,Weekly,Monthly,Weekly,Never,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Unsatisfactory,Satisfactory,More than 20,A few,A few,Facebook / Messenger,Instagram,,Text / SMS,Twitter,Homework & assignment due dates,I haven't scheduled an appointment with my advisor,Once a semester,Very easy,Somewhat easy,Somewhat easy,Somewhat easy,Somewhat likely,GRAD,MAIN,Two or more races,F,41,RES,Y,College of Education,Graduate,3.86
19026,Somewhat effective,Never,Monthly,Weekly,Never,Never,Never,Monthly,Never,Daily,Rarely,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,More than 20,A few,Most,Facebook / Messenger,,,,,,Very difficult,Once a semester,Somewhat easy,Somewhat easy,Somewhat difficult,Somewhat easy,Very unlikely,GRAD,MAIN,American Indian,M,41,RES,N,College of Education,Graduate,
19032,Somewhat effective,Never,Never,Daily,Rarely,Rarely,Never,Rarely,Never,Daily,Never,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Unsatisfactory,Satisfactory,More than 20,A few,About half,Facebook / Messenger,,,,,Homework & assignment due dates,Very easy,Once a semester,Somewhat easy,Somewhat easy,Very easy,Somewhat difficult,Somewhat likely,UGRD,MAIN,Hispanic,M,40,RES,N,College of Science,Senior,2.16
